vote_intention,age,sex,education,income,party_id,party_id_str,party_id_imp,ideology,feeling_democrat,feeling_republican,political_knowledge_intro,political_knowledge_catch1,political_knowledge_catch_feedback,political_knowledge_senate_term,political_knowledge_least_spending,political_knowledge_house_majority,political_knowledge_senate_majority,political_interest,follow_politics_media,understand_issues
1,58,0,4,7,3,3,2,4,100,0,1,1960,-1,0,0,0,1,2,2,2
2,53,1,2,10,3,4,1,6,50,60,1,1950,-1,1,0,1,1,2,2,4
1,75,0,3,1,1,1,1,4,100,30,1,1958,-1,0,0,0,0,3,3,2
2,37,0,4,19,1,2,3,3,60,40,1,1980,-1,0,0,1,0,2,2,2
2,77,1,4,5,3,5,2,6,60,60,1,1882,-1,1,0,1,1,3,3,3
2,50,0,5,22,2,6,4,5,0,30,1,1964,-1,0,0,0,0,3,3,2
1,58,0,5,6,1,1,4,2,60,0,1,1980,-1,0,0,1,1,1,1,1
1,59,0,3,10,3,3,2,4,85,50,1,1999,-1,0,1,0,1,3,4,5
2,72,0,2,20,2,7,1,7,0,85,1,1990,-1,1,0,1,1,2,2,2
1,60,1,4,15,1,1,2,2,70,0,2,1896,1,1,0,1,1,2,2,1
1,66,1,3,13,3,3,2,4,50,15,1,1895,-1,1,0,1,1,2,1,1
1,56,1,4,10,1,1,3,2,60,15,1,1955,-1,1,1,0,1,1,2,1
2,40,1,5,21,2,7,3,6,0,60,1,1970,-1,0,0,1,1,4,4,2
2,45,0,4,1,2,6,2,5,45,85,1,1956,-1,0,0,1,1,2,2,3
1,68,0,4,10,1,1,2,4,70,0,1,1900,-1,1,0,1,1,2,2,2
2,22,1,4,21,2,6,5,5,40,60,1,1998,-1,0,0,0,0,3,3,3
2,40,0,4,1,2,7,2,5,30,85,1,1960,-1,0,0,0,0,2,3,2
1,63,0,3,7,3,3,5,3,70,40,1,1960,-1,1,0,1,1,2,3,2
2,67,0,3,18,2,7,2,7,0,85,1,1999,-1,1,0,1,1,1,2,2
1,69,1,3,10,1,2,3,4,70,0,1,1986,-1,0,0,0,0,3,1,2
2,80,1,3,14,2,7,2,6,15,70,1,1890,-1,1,1,1,1,2,3,2
1,61,0,4,22,1,2,3,4,60,0,1,1900,-1,1,1,1,1,1,1,1
1,80,1,4,18,1,2,5,2,85,15,1,1957,-1,0,1,1,1,2,1,1
1,48,1,4,14,1,2,5,2,40,0,1,1969,-1,0,0,1,0,2,2,2
1,38,0,5,18,1,1,3,1,70,30,1,1982,-1,0,0,0,0,3,2,4
2,76,0,2,11,2,7,2,6,0,70,1,1962,-1,1,0,1,1,2,2,2
1,32,0,5,1,1,1,3,2,65,15,1,1896,1,1,0,0,1,2,2,2
2,41,0,3,11,2,6,5,6,0,80,1,1990,-1,0,1,1,1,1,2,1
1,45,0,5,15,1,1,2,3,85,40,1,1900,-1,1,0,0,1,2,2,2
1,56,0,5,21,1,1,2,2,80,0,1,1990,-1,1,0,1,1,1,1,1
1,73,1,4,18,2,6,4,4,60,20,1,1950,-1,1,1,1,1,1,2,1
1,69,0,4,6,3,4,1,4,50,15,1,1950,-1,1,1,1,1,3,3,3
1,73,0,2,10,1,1,5,3,70,30,1,1998,-1,0,0,1,1,3,2,4
2,43,1,4,1,2,7,1,6,0,80,2,1000,-1,0,1,1,1,1,1,2
2,62,0,3,22,3,4,5,4,50,50,1,1990,-1,0,0,0,0,1,2,2
2,63,0,4,2,2,7,2,6,40,85,1,1978,-1,0,1,1,1,2,1,2
1,34,0,5,16,1,2,5,4,65,40,1,1956,-1,1,1,1,1,3,3,2
2,76,1,4,5,2,7,2,6,30,70,2,1875,-1,1,1,1,1,2,2,2
1,69,0,3,7,1,1,1,3,100,0,1,1969,-1,1,0,1,1,1,1,2
2,27,1,3,13,2,7,2,6,0,100,2,1981,-1,0,0,0,1,1,2,3
1,32,1,4,18,1,1,2,2,85,15,1,1920,-1,1,0,1,1,2,2,2
2,50,1,4,21,3,5,1,6,0,70,1,1940,-1,0,0,0,0,2,2,2
1,52,1,5,22,3,4,5,5,50,0,1,1952,-1,0,1,1,1,2,2,2
2,60,0,4,21,3,5,5,5,15,70,1,1979,-1,0,0,1,1,1,1,2
1,24,1,4,22,1,2,5,3,60,40,1,1994,-1,0,0,1,1,3,3,2
2,31,1,2,15,2,7,5,3,10,85,2,1985,-1,0,1,1,0,2,2,3
2,39,1,2,15,2,7,3,6,15,75,1,1982,-1,0,0,1,1,2,2,2
1,28,1,5,21,2,6,4,6,70,35,1,1900,-1,1,1,1,1,1,2,2
1,70,1,5,21,3,3,3,3,80,0,1,1995,-1,1,1,1,1,1,1,1
1,59,1,5,21,1,2,3,3,70,-9,1,1974,-1,1,1,1,1,2,2,2
1,80,0,2,4,1,1,1,4,100,0,1,1900,-1,0,0,0,0,1,1,1
1,76,0,5,1,3,3,2,4,85,0,1,1802,-1,1,1,1,1,1,1,1
1,55,0,5,15,1,1,5,4,70,0,1,1990,-1,0,0,1,1,2,2,1
1,39,0,5,19,1,1,2,1,70,30,1,1980,-1,1,1,1,1,2,2,2
2,40,1,2,5,2,7,1,7,0,100,2,2000,-1,0,0,0,1,3,3,2
1,40,0,4,21,1,1,5,3,60,15,1,1956,-1,1,0,0,1,2,2,2
1,52,1,5,22,1,1,4,3,60,0,1,1978,-1,0,1,1,1,3,3,2
1,67,0,3,19,1,1,4,2,70,15,1,1950,-1,0,0,1,1,2,2,2
1,24,1,3,10,3,3,5,3,40,15,1,1980,-1,1,0,1,1,2,2,2
1,43,0,3,1,1,2,5,1,65,15,1,1999,-1,0,0,0,1,3,3,3
1,52,0,4,16,1,2,5,6,70,30,1,1896,2,1,0,1,1,2,2,2
2,50,1,3,21,2,6,5,6,40,65,1,1971,-1,0,0,0,0,4,3,2
2,62,1,4,4,2,7,3,6,0,80,1,1920,-1,0,0,1,1,1,1,1
2,33,1,3,20,2,7,4,6,25,90,1,1950,-1,1,0,0,0,2,2,3
1,36,1,4,16,3,3,1,2,70,15,1,1968,-1,0,1,1,0,4,4,5
2,66,0,3,17,3,5,2,5,40,-9,1,1890,-1,0,0,0,1,2,2,2
2,30,0,4,18,3,5,2,6,0,70,1,1900,-1,0,0,1,1,2,2,2
1,57,0,5,19,1,1,5,4,60,30,1,2000,-1,1,0,1,1,2,2,3
2,68,0,4,8,2,7,5,4,15,70,1,2000,-1,1,0,0,0,2,3,2
2,44,0,3,4,2,7,2,6,0,100,1,1982,-1,0,0,0,0,2,2,2
1,70,1,3,7,2,6,4,4,60,15,1,1980,-1,0,0,0,0,1,1,2
2,71,1,2,4,2,7,3,6,15,70,1,1985,-1,0,0,1,1,2,2,2
2,31,1,4,9,2,6,4,6,15,70,1,1998,-1,0,0,0,0,3,2,1
2,61,0,3,11,3,4,3,5,40,85,1,1990,-1,0,1,0,0,2,2,4
2,43,1,2,5,3,5,1,7,0,100,1,1865,-1,1,1,1,1,3,3,3
1,53,0,3,16,3,4,2,4,70,40,1,1975,-1,0,0,1,1,1,1,2
1,73,0,3,4,3,3,3,2,60,0,1,1980,-1,0,0,1,1,1,2,2
2,69,0,4,14,3,5,4,6,40,70,1,1950,-1,1,0,1,1,3,3,2
1,45,0,3,18,1,2,5,5,70,15,1,1965,-1,0,1,1,1,3,3,2
2,80,0,3,22,2,7,2,6,30,85,1,1976,-1,0,0,0,1,2,2,2
2,46,0,3,16,2,7,1,7,0,70,1,1955,-1,1,1,1,1,2,3,2
2,70,1,4,15,2,7,3,7,15,85,1,1970,-1,1,1,1,1,2,2,1
2,77,0,4,19,2,7,2,6,0,85,1,1963,-1,1,1,1,1,1,1,1
2,37,1,3,21,2,7,5,4,40,70,1,2000,-1,0,0,0,0,3,3,3
2,30,1,5,21,3,5,2,6,0,70,1,1890,-1,0,0,1,1,1,2,1
1,79,1,4,13,3,4,5,4,60,30,1,1940,-1,1,1,1,1,2,2,4
1,78,1,5,19,3,3,2,2,70,15,1,1960,-1,1,1,1,1,1,1,1
1,47,1,5,22,3,4,3,5,40,50,1,1900,-1,1,1,0,1,2,3,3
1,72,0,2,17,1,1,4,2,100,0,1,1953,-1,1,1,1,1,1,1,1
2,36,1,5,21,3,5,5,5,30,60,1,1980,-1,1,0,1,1,3,3,3
1,35,1,5,22,3,3,5,5,60,20,1,1970,-1,0,1,0,1,2,2,2
1,41,1,2,6,3,4,3,3,40,0,1,1974,-1,0,0,0,1,3,3,2
2,31,0,3,19,2,7,1,7,50,100,1,1980,-1,0,0,0,0,3,2,2
1,61,1,4,5,3,3,2,3,75,10,1,1972,-1,1,1,1,1,1,1,1
1,62,0,5,20,1,1,3,2,85,30,1,1955,-1,1,1,1,1,1,1,1
1,63,1,5,4,3,3,3,3,70,0,1,1988,-1,1,1,1,1,2,2,1
2,52,0,2,9,2,6,4,5,40,70,1,2000,-1,0,0,1,1,2,3,2
1,64,0,5,18,3,3,1,3,50,0,1,2000,-1,0,0,1,1,1,1,2
2,41,1,3,20,3,5,3,5,0,70,1,1973,-1,0,0,0,1,2,2,2
2,51,1,3,16,2,7,2,6,15,85,1,1969,-1,0,1,1,1,3,3,2
2,45,1,2,10,2,7,2,6,0,85,1,1999,-1,0,0,0,0,1,2,1
1,68,0,3,1,1,1,2,4,100,30,1,1950,-1,1,1,1,1,1,1,2
2,73,1,5,11,2,7,2,6,0,100,1,1980,-1,1,1,1,1,2,2,1
2,66,0,3,17,2,7,3,4,0,100,1,1920,-1,0,0,0,1,2,2,3
2,73,1,3,12,2,7,3,7,0,60,2,1956,-1,0,0,1,1,1,2,1
2,65,1,2,8,3,4,4,4,-9,-9,1,1960,-1,1,0,1,1,3,3,3
1,53,0,5,22,1,2,5,3,60,20,1,1950,-1,1,1,1,1,1,1,1
1,39,0,4,21,1,1,4,3,70,30,1,1985,-1,1,1,1,1,3,3,2
1,71,1,2,8,3,4,2,3,70,0,1,1965,-1,0,1,1,1,2,2,2
1,34,1,5,22,1,1,2,2,70,15,1,1950,-1,0,1,0,1,3,2,4
1,52,0,2,13,1,2,5,3,70,30,1,1960,-1,0,0,1,1,4,3,3
2,53,1,5,12,2,7,1,7,0,40,1,1999,-1,1,0,1,1,1,2,1
